car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
53024186,https://auto.drom.ru/saratov/audi/q5/53024186.html,Audi Q5,2013,2300000,2.0,177,робот,144000
53031513,https://auto.drom.ru/belgorod/audi/a6/53031513.html,Audi A6,2015,2400000,2.0,190,робот,100000
53033342,https://auto.drom.ru/krasnoyarsk/audi/q7/53033342.html,Audi Q7,2021,8995000,3.0,249,АКПП,30284
53033684,https://auto.drom.ru/moscow/audi/a6/53033684.html,Audi A6,2020,3970000,2.0,190,автомат,59811
53057247,https://auto.drom.ru/vladivostok/audi/q2/53057247.html,Audi Q2,2017,1635000,1.0,116,робот,63595
53073455,https://auto.drom.ru/sterlitamak/audi/90/53073455.html,Audi 90,1989,200000,2.0,136,АКПП,228716
53081206,https://auto.drom.ru/habarovsk/audi/q7/53081206.html,Audi Q7,2022,8649000,3.0,231,автомат,16000
53111607,https://auto.drom.ru/sovetskiy/audi/a6/53111607.html,Audi A6,1996,295000,3.0,172,АКПП,160000
53112584,https://auto.drom.ru/irkutsk/audi/q7/53112584.html,Audi Q7,2011,2150000,3.0,272,АКПП,190000
53123786,https://auto.drom.ru/habarovsk/audi/a3/53123786.html,Audi A3,2013,1300000,1.0,122,робот,83815
53124223,https://auto.drom.ru/krasnoyarsk/audi/a5/53124223.html,Audi A5,2010,1549000,2.0,211,робот,135000
53172474,https://auto.drom.ru/irkutsk/audi/a6/53172474.html,Audi A6,2019,4595000,2.0,252,робот,92545
53172527,https://auto.drom.ru/chelyabinsk/audi/a3/53172527.html,Audi A3,2018,2190000,1.0,150,робот,94414
53173591,https://auto.drom.ru/moscow/audi/q8/53173591.html,Audi Q8,2018,6199000,3.0,340,АКПП,70000
53176532,https://auto.drom.ru/ekaterinburg/audi/a4/53176532.html,Audi A4,2016,2139999,1.0,150,робот,120300
53184367,https://auto.drom.ru/krasnoyarsk/audi/a8/53184367.html,Audi A8,2013,2150000,3.0,290,АКПП,135000
53202389,https://auto.drom.ru/habarovsk/audi/a4/53202389.html,Audi A4,2009,1490000,2.0,160,вариатор,66666
